period,series_id,category,measure,loan_product,rate_pct,source_url
2026-01,V122667793,Mortgages,Outstanding balances,"Residential mortgages, uninsured, Total",4.31,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667793,Mortgages,Outstanding balances,"Residential mortgages, uninsured, Total",4.31,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667798,Mortgages,Outstanding balances,"Residential mortgages, uninsured, fixed 5 years and over",3.53,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667798,Mortgages,Outstanding balances,"Residential mortgages, uninsured, fixed 5 years and over",3.61,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667798,Mortgages,Outstanding balances,"Residential mortgages, uninsured, fixed 5 years and over",3.69,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667798,Mortgages,Outstanding balances,"Residential mortgages, uninsured, fixed 5 years and over",3.77,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667798,Mortgages,Outstanding balances,"Residential mortgages, uninsured, fixed 5 years and over",3.85,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667816,Corporate credit,Funds advanced,"Business loans, Total",4.55,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667816,Corporate credit,Funds advanced,"Business loans, Total",4.39,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667816,Corporate credit,Funds advanced,"Business loans, Total",4.41,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667816,Corporate credit,Funds advanced,"Business loans, Total",4.48,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667816,Corporate credit,Funds advanced,"Business loans, Total",4.39,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667817,Corporate credit,Funds advanced,To regulated non-bank financial institutions,4.32,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667817,Corporate credit,Funds advanced,To regulated non-bank financial institutions,4.12,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667817,Corporate credit,Funds advanced,To regulated non-bank financial institutions,4.05,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667817,Corporate credit,Funds advanced,To regulated non-bank financial institutions,4.01,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667817,Corporate credit,Funds advanced,To regulated non-bank financial institutions,4.12,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667818,Corporate credit,Funds advanced,Lease receivables,6.29,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667818,Corporate credit,Funds advanced,Lease receivables,6.61,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667818,Corporate credit,Funds advanced,Lease receivables,6.01,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667818,Corporate credit,Funds advanced,Lease receivables,5.82,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667818,Corporate credit,Funds advanced,Lease receivables,5.7,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667819,Corporate credit,Funds advanced,Loans to individuals and others for business purposes,4.56,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667819,Corporate credit,Funds advanced,Loans to individuals and others for business purposes,4.4,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667819,Corporate credit,Funds advanced,Loans to individuals and others for business purposes,4.43,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667819,Corporate credit,Funds advanced,Loans to individuals and others for business purposes,4.5,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667819,Corporate credit,Funds advanced,Loans to individuals and others for business purposes,4.4,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667820,Corporate credit,Funds advanced,Non-residential mortgages,4.45,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
